Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Expenditure Purpose,Merchant Category
22/06/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,12.90,General Retail and Wholesale,Grocery stores
22/06/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),SAINSBURYS S/MKTS,2.48,General Retail and Wholesale,Grocery stores
22/06/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO-STORES-6106,17.42,General Retail and Wholesale,Grocery stores
22/06/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO-STORES-6106,22.07,General Retail and Wholesale,Grocery stores
23/06/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,195.90,Books and Periodicals,Book stores
23/06/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,457.10,Books and Periodicals,Book stores
23/06/2014,DCC HATHERLEIGH PS-C 0514362 (00514362),Amazon EU,34.22,Mail Order / Direct Selling,Direct sales companies
23/06/2014,D C C - BIDEFORD COLLEGE (00247481),PAYPAL  ARGOS EBAY,54.99,General Retail and Wholesale,Electronics shops
23/06/2014,DCC-BASSETTS FARM PR 0487469 (00487469),ASDA HOME DELIVERY,67.02,General Retail and Wholesale,Grocery stores
23/06/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,53.61,General Retail and Wholesale,Grocery stores
23/06/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,8.00,General Retail and Wholesale,Grocery stores
23/06/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TESCO STORES 6269,87.60,General Retail and Wholesale,Grocery stores
23/06/2014,D C C - BIDEFORD COLLEGE (00247481),WWW.MOBILEFUN.CO.U,116.99,Telecommunication Services,Phone equipment & sales
23/06/2014,DCC ORCHARD LEA RESI 0474050 (00474050),POST OFFICE COUNTER,29.38,Mail and Courier Services,Postal services
23/06/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),WWW.CARTRIDGEMONKEY.CO,278.39,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
23/06/2014,DCC-OUR SCH. FED-0467699 (00467699),WWW.OFFICEFURNITUREONL,57.60,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
24/06/2014,DCC CDPLS - C (00451587),PAYPAL  HSBIKEDISCO,86.46,General Retail and Wholesale,"Bicycle shops, sales & service"
24/06/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,824.00,Books and Periodicals,Book stores
24/06/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,7.64,Books and Periodicals,Book stores
24/06/2014,D C C - BIDEFORD COLLEGE (00247481),WP-SCOACH ETICKET,41.50,Travel - Air/Rail/Road,"Buses, charter & tour"
24/06/2014,D C C - BIDEFORD COLLEGE (00247481),WP-SCOACH ETICKET,41.50,Travel - Air/Rail/Road,"Buses, charter & tour"
24/06/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),UNIVBRISTOL ONLINE PAY,6.45,Training and Educational,Colleges & universities
24/06/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),WWW.SUPPLIESFORSCHOOLS.C,9.19,Computer Equipment & Services,"Computers, peripherals & software"
24/06/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon EU,8.58,Mail Order / Direct Selling,Direct sales companies
24/06/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon EU,34.27,Mail Order / Direct Selling,Direct sales companies
24/06/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),HM PASSPORT OFFICE,5.82,Statutory Bodies,Government services
24/06/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,9.98,General Retail and Wholesale,Grocery stores
24/06/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,11.08,General Retail and Wholesale,Grocery stores
24/06/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,85.51,General Retail and Wholesale,Grocery stores
24/06/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2487,137.24,General Retail and Wholesale,Grocery stores
24/06/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TESCO STORE 3539,-1.00,General Retail and Wholesale,Grocery stores
24/06/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),WM MORRISONS,6.67,General Retail and Wholesale,Grocery stores
24/06/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),WWW.MODELSPORT.CO.UK,109.00,General Retail and Wholesale,"Hobby, toy & game shops"
24/06/2014,DCC-OUR SCH. FED-0467699 (00467699),YOUTH HOSTEL ASSOC,597.00,Hotels and Accommodation,"Hotels, motels & resorts"
24/06/2014,D C C - BIDEFORD COLLEGE (00247481),TRAINLINE.COM,32.84,Travel - Air/Rail/Road,Passenger railways
24/06/2014,DCC EAST DEVON LEARN DISB SERV (00308185),HOMEBASE LTD,27.51,Building Materials,Timber & building supplies
25/06/2014,D C C - BIDEFORD COLLEGE (00247481),PAYPAL  NPTHERMOPLA,12.15,Print and Advertising,Advertising services
25/06/2014,D C C - BIDEFORD COLLEGE (00247481),PAYPAL  TRUSTLEAF,11.90,General Retail and Wholesale,Antique shops
25/06/2014,D C C - BIDEFORD COLLEGE (00247481),WWW.CARDCRAFTS.UK.COM,37.32,General Retail and Wholesale,Art & craft shops
25/06/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,26.58,Books and Periodicals,Book stores
25/06/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,13.86,Books and Periodicals,Book stores
25/06/2014,DCC WILLAND SCH-C 0509473 (00509473),Amazon  Mktplce EU-UK,12.34,Books and Periodicals,Book stores
25/06/2014,DCC-RATCLIFFE SCH-C- 0503860 (00503860),Amazon  Mktplce EU-UK,18.94,Books and Periodicals,Book stores
25/06/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,14.90,Books and Periodicals,Book stores
25/06/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,41.49,Books and Periodicals,Book stores
25/06/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,6.98,Books and Periodicals,Book stores
25/06/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,4.70,Books and Periodicals,Book stores
25/06/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,10.00,Books and Periodicals,Book stores
25/06/2014,DCC-BASSETTS FARM PR 0487469 (00487469),Amazon EU,14.77,Mail Order / Direct Selling,Direct sales companies
25/06/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,85.42,General Retail and Wholesale,Grocery stores
25/06/2014,DCC WHITCHURCH - C 0559309 (00559309),WM MORRISONS,37.70,General Retail and Wholesale,Grocery stores
25/06/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),ONCALL MEDICAL SUPPLIES,398.40,Medical Supplies and Services,"Laboratory, medical & hospital equipment"
25/06/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),EB  BEHAVIOUR INTERVEN,100.00,Miscellaneous Industrial/Commercial Supplies,Misc business services
25/06/2014,D C C - BIDEFORD COLLEGE (00247481),APPLE ITUNES STORE-GBP,1.78,General Retail and Wholesale,Record shops
25/06/2014,DCC KING EDWARD VI COMMUNITY C (00247596),RUGBY FOOTBALL UNION,50.00,Leisure Activities,Sports clubs & promoters
25/06/2014,DCC WILLAND SCH-C 0509473 (00509473),BENCHMARX TIVERTON,144.00,Building Materials,Timber & building supplies
25/06/2014,DCC LEASE DAY CENTRE (00322822),MAKRO SELF SERVICE EXETER,43.11,General Retail and Wholesale,Wholesale clubs
26/06/2014,DCC HATHERLEIGH PS-C 0514362 (00514362),Amazon  Mktplce EU-UK,27.99,Books and Periodicals,Book stores
26/06/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,94.30,Books and Periodicals,Book stores
26/06/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),Amazon  Mktplce EU-UK,6.99,Books and Periodicals,Book stores
26/06/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),Amazon  Mktplce EU-UK,6.99,Books and Periodicals,Book stores
26/06/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),Amazon  Mktplce EU-UK,16.00,Books and Periodicals,Book stores
26/06/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),Amazon  Mktplce EU-UK,49.99,Books and Periodicals,Book stores
26/06/2014,DCC-OUR SCH. FED-0467699 (00467699),Amazon  Mktplce EU-UK,38.40,Books and Periodicals,Book stores
26/06/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,60.55,Books and Periodicals,Book stores
26/06/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,4.30,Books and Periodicals,Book stores
26/06/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),BOOKDEPOSITORY.COM,18.44,Books and Periodicals,Book stores
26/06/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),Amazon EU,14.83,Mail Order / Direct Selling,Direct sales companies
26/06/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),Amazon EU,30.15,Mail Order / Direct Selling,Direct sales companies
26/06/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,36.83,General Retail and Wholesale,Grocery stores
26/06/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,10.40,General Retail and Wholesale,Grocery stores
26/06/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TESCO STORES 6269,50.60,General Retail and Wholesale,Grocery stores
26/06/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  SAXTONTRADI,23.99,General Retail and Wholesale,Hardware stores
26/06/2014,DCC ORCHARD LEA RESI 0474050 (00474050),PAYPAL  CANBERRA,-69.69,Miscellaneous Industrial/Commercial Supplies,Misc Durable goods
26/06/2014,DCC KING EDWARD VI COMMUNITY C (00247596),FGW WEBSALES,42.00,Travel - Air/Rail/Road,Passenger railways
26/06/2014,DCC KING EDWARD VI COMMUNITY C (00247596),FGW WEBSALES,132.90,Travel - Air/Rail/Road,Passenger railways
26/06/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),999INKS.COM,89.85,"Office Stationery, Equipment and Supplies",Photocopy & reproduction services
26/06/2014,D C C - BIDEFORD COLLEGE (00247481),APPLE ITUNES STORE-GBP,6.93,General Retail and Wholesale,Record shops
26/06/2014,D C C - BIDEFORD COLLEGE (00247481),APPLE ITUNES STORE-GBP,6.93,General Retail and Wholesale,Record shops
26/06/2014,D C C - BIDEFORD COLLEGE (00247481),APPLE ITUNES STORE-GBP,6.93,General Retail and Wholesale,Record shops
26/06/2014,D C C - BIDEFORD COLLEGE (00247481),APPLE ITUNES STORE-GBP,7.51,General Retail and Wholesale,Record shops
26/06/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),W M MORRISON,10.00,Automotive Fuel,Service stations
26/06/2014,DCC WILLAND SCH-C 0509473 (00509473),TP TIVERTON,129.03,Building Materials,Timber & building supplies
27/06/2014,DCC COCKWOOD P.SCH-0479007 (00479007),Amazon  Mktplce EU-UK,4.99,Books and Periodicals,Book stores
27/06/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,23.20,Books and Periodicals,Book stores
27/06/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),Amazon  Mktplce EU-UK,38.78,Books and Periodicals,Book stores
27/06/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),Amazon  Mktplce EU-UK,8.97,Books and Periodicals,Book stores
27/06/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),Amazon  Mktplce EU-UK,15.29,Books and Periodicals,Book stores
27/06/2014,DCC COURT OF PROTECT-C 0509893 (00509893),TV LICENSING,36.37,Professional Services,Consultants & public relation services
27/06/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),BUY & SAVE (TIVERTON),5.83,General Retail and Wholesale,Department stores
27/06/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon EU,11.98,Mail Order / Direct Selling,Direct sales companies
27/06/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,-3.50,General Retail and Wholesale,Grocery stores
27/06/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2487,177.96,General Retail and Wholesale,Grocery stores
27/06/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,45.69,General Retail and Wholesale,Grocery stores
27/06/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),WWW.MODELSPORT.CO.UK,109.00,General Retail and Wholesale,"Hobby, toy & game shops"
27/06/2014,DCC KING EDWARD VI COMMUNITY C (00247596),KART WORLD,260.00,Leisure Activities,Misc. recreational services
27/06/2014,DCC ALPHIN HOUSE - 0461374 (00461374),ELECTRONIC TEMPERATURE,44.40,General Retail and Wholesale,Miscellaneous retail
27/06/2014,D C C WESTCROFT JUNIOR SCHOOL (00246992),WINCASTLELI,69.48,Professional Services,Professional services
27/06/2014,D C C - BIDEFORD COLLEGE (00247481),APPLE ITUNES STORE-GBP,7.52,General Retail and Wholesale,Record shops
27/06/2014,D C C - BIDEFORD COLLEGE (00247481),APPLE ITUNES STORE-GBP,7.52,General Retail and Wholesale,Record shops
27/06/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),W M MORRISON,4.39,Automotive Fuel,Service stations
27/06/2014,D C C - BIDEFORD COLLEGE (00247481),PAYPAL  EXCELSIOR,-95.00,General Retail and Wholesale,Sporting goods shops
27/06/2014,D C C - BIDEFORD COLLEGE (00247481),WWW.HOTLINE.CO.UK,329.88,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
28/06/2014,DCC WHITCHURCH - C 0559309 (00559309),Amazon EU,29.99,Mail Order / Direct Selling,Direct sales companies
29/06/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,2.52,General Retail and Wholesale,Grocery stores
29/06/2014,DCC BUCKLAND BREWER SCH (00447141),MORRISONS STORES,31.01,General Retail and Wholesale,Grocery stores
29/06/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),SAINSBURY'S S/MKT,46.39,General Retail and Wholesale,Grocery stores
29/06/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO-STORES-6106,20.37,General Retail and Wholesale,Grocery stores
29/06/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO-STORES-6106,18.81,General Retail and Wholesale,Grocery stores
29/06/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),WM MORRISONS,53.36,General Retail and Wholesale,Grocery stores
29/06/2014,DCC COURT OF PROTECT-C 0509893 (00509893),ABLE GROUP UK,144.00,Miscellaneous Industrial/Commercial Supplies,Misc business services
30/06/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,29.67,Books and Periodicals,Book stores
30/06/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,53.48,Books and Periodicals,Book stores
30/06/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),Amazon  Mktplce EU-UK,10.20,Books and Periodicals,Book stores
30/06/2014,DCC KING EDWARD VI COMMUNITY C (00247596),BLACKWELL UK LTD,178.98,Books and Periodicals,Book stores
30/06/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),BOOKDEPOSITORY.COM,262.50,Books and Periodicals,Book stores
30/06/2014,DCC - ST ANDREWS PRI 0467693 (00467693),B.T. BUSINESS DIRECT,335.72,Computer Equipment & Services,Computer software stores
30/06/2014,DCC WILLAND SCH-C 0509473 (00509473),Amazon EU,53.80,Mail Order / Direct Selling,Direct sales companies
30/06/2014,DCC-BASSETTS FARM PR 0487469 (00487469),ASDA HOME DELIVERY,131.45,General Retail and Wholesale,Grocery stores
30/06/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,81.21,General Retail and Wholesale,Grocery stores
30/06/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,31.92,General Retail and Wholesale,Grocery stores
30/06/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,6.00,General Retail and Wholesale,Grocery stores
30/06/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TESCO STORES 6269,101.84,General Retail and Wholesale,Grocery stores
30/06/2014,DCC-OUR SCH. FED-0467699 (00467699),LUL TICKET MACHINE,14.10,Travel - Air/Rail/Road,Passenger railways
30/06/2014,D C C WESTCROFT JUNIOR SCHOOL (00246992),O2 PREPAY TOP-UP,25.00,Telecommunication Services,Phone services
30/06/2014,DCC-OUR SCH. FED-0467699 (00467699),THE AMBASSADORS THEATR,630.00,Leisure Activities,Theatres and ticket agencies
30/06/2014,DCC-OUR SCH. FED-0467699 (00467699),LONDONDUCKTOURS MAIL O,279.00,Leisure Activities,Tourist attractions and exhibitions
01/07/2014,DCC - ST ANDREWS PRI 0467693 (00467693),Amazon  Mktplce EU-UK,118.14,Books and Periodicals,Book stores
01/07/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,2.20,Books and Periodicals,Book stores
01/07/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,2.10,Books and Periodicals,Book stores
01/07/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,2.19,Books and Periodicals,Book stores
01/07/2014,DCC CHARLTON LODGE C0554043 (00554043),HOWDEN JOINERY TIVERTO,385.68,Building Materials,Construction materials
01/07/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon EU,7.99,Mail Order / Direct Selling,Direct sales companies
01/07/2014,D C C - BIDEFORD COLLEGE (00247481),SONY EUROPE LTD,766.08,General Retail and Wholesale,Electronics shops
01/07/2014,DCC HATHERLEIGH PS-C 0514362 (00514362),WWW.TRUETRIM.COM,71.95,General Retail and Wholesale,Fabric and sewing shops
01/07/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2487,126.36,General Retail and Wholesale,Grocery stores
01/07/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,10.45,General Retail and Wholesale,Grocery stores
01/07/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),WM MORRISONS,11.28,General Retail and Wholesale,Grocery stores
01/07/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),LAKELAND.LIMITED,9.98,General Retail and Wholesale,Misc. general merchandise
01/07/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),FIRST INFO LTD- TE,57.85,Travel - Air/Rail/Road,Passenger railways
01/07/2014,DCC-OUR SCH. FED-0467699 (00467699),LUL TICKET MACHINE,14.10,Travel - Air/Rail/Road,Passenger railways
01/07/2014,D C C - BIDEFORD COLLEGE (00247481),ITUNES.COM/BILL,7.72,General Retail and Wholesale,Record shops
01/07/2014,D C C - BIDEFORD COLLEGE (00247481),ITUNES.COM/BILL,7.12,General Retail and Wholesale,Record shops
01/07/2014,D C C - BIDEFORD COLLEGE (00247481),ITUNES.COM/BILL,7.12,General Retail and Wholesale,Record shops
01/07/2014,D C C - BIDEFORD COLLEGE (00247481),ITUNES.COM/BILL,7.72,General Retail and Wholesale,Record shops
01/07/2014,D C C - BIDEFORD COLLEGE (00247481),ITUNES.COM/BILL,7.72,General Retail and Wholesale,Record shops
01/07/2014,D C C - BIDEFORD COLLEGE (00247481),ITUNES.COM/BILL,7.32,General Retail and Wholesale,Record shops
01/07/2014,DCC BUCKLAND BREWER SCH (00447141),GAPPS EDUCATION,210.00,Training and Educational,Schools
01/07/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),VIKING,57.58,"Office Stationery, Equipment and Supplies",Stationery & office supplies
01/07/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),B & Q,23.08,Building Materials,Timber & building supplies
02/07/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,10.47,Books and Periodicals,Book stores
02/07/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,28.15,Books and Periodicals,Book stores
02/07/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,1.65,Books and Periodicals,Book stores
02/07/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,117.39,Books and Periodicals,Book stores
02/07/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,1.95,Books and Periodicals,Book stores
02/07/2014,DCC ORCHARD LEA RESI 0474050 (00474050),Amazon  Mktplce EU-UK,14.31,Books and Periodicals,Book stores
02/07/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),Amazon  Mktplce EU-UK,40.55,Books and Periodicals,Book stores
02/07/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,4.49,Books and Periodicals,Book stores
02/07/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,9.99,Books and Periodicals,Book stores
02/07/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,5.72,Books and Periodicals,Book stores
02/07/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,27.45,Books and Periodicals,Book stores
02/07/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,35.60,Books and Periodicals,Book stores
02/07/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),PAYPAL  CROWNHOUSEP,12.74,Books and Periodicals,Book stores
02/07/2014,D C C - BIDEFORD COLLEGE (00247481),PAYPAL  HEALTHBEHAV,100.00,Clubs/Associations/Organisations,Charitable organisations
02/07/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,101.65,General Retail and Wholesale,Grocery stores
02/07/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,77.41,General Retail and Wholesale,Grocery stores
02/07/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,9.50,General Retail and Wholesale,Grocery stores
02/07/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),DISPLAYSENSE.CO.UK,78.16,Miscellaneous Industrial/Commercial Supplies,Misc commercial machines equipment
02/07/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TomTom,47.50,General Retail and Wholesale,Miscellaneous retail
02/07/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),OPCS PAY AS YOU GO,20.00,Telecommunication Services,Phone services
02/07/2014,DCC COMM SERV'S DEVON-TIVERTON (00322820),WWW.BALLOONING.CO.UK,51.95,Leisure Activities,Tourist attractions and exhibitions
03/07/2014,DCC - EXETER LEARNING DIS (IH) (00311773),Amazon  Mktplce EU-UK,11.98,Books and Periodicals,Book stores
03/07/2014,DCC - EXETER LEARNING DIS (IH) (00311773),Amazon  Mktplce EU-UK,1.84,Books and Periodicals,Book stores
03/07/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),Amazon  Mktplce EU-UK,2.81,Books and Periodicals,Book stores
03/07/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),Amazon  Mktplce EU-UK,74.74,Books and Periodicals,Book stores
03/07/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),Amazon  Mktplce EU-UK,11.35,Books and Periodicals,Book stores
03/07/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),Amazon  Mktplce EU-UK,26.23,Books and Periodicals,Book stores
03/07/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),Amazon  Mktplce EU-UK,14.08,Books and Periodicals,Book stores
03/07/2014,DCC WILLAND SCH-C 0509473 (00509473),HEATHCOAT FABRICS LTD,26.94,General Retail and Wholesale,Drapery & upholstery shops
03/07/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),CO-OP GROUP 380572,7.47,General Retail and Wholesale,Grocery stores
03/07/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,5.00,General Retail and Wholesale,Grocery stores
03/07/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO-STORES-6106,2.97,General Retail and Wholesale,Grocery stores
03/07/2014,DCC WHITCHURCH - C 0559309 (00559309),WM MORRISONS,16.85,General Retail and Wholesale,Grocery stores
03/07/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),999INKS.COM,42.84,"Office Stationery, Equipment and Supplies",Photocopy & reproduction services
03/07/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),W M MORRISON,12.00,Automotive Fuel,Service stations
03/07/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),WWW.CARTRIDGEMONKEY.CO,404.02,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
03/07/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),C BREWER & SONS LT,101.83,Building Materials,Timber & building supplies
03/07/2014,D C C - BIDEFORD COLLEGE (00247481),WVR.UK (HOSEASONS GP),103.01,Travel - Air/Rail/Road,Travel agencies
04/07/2014,DCC - EXETER LEARNING DIS (IH) (00311773),Amazon  Mktplce EU-UK,14.99,Books and Periodicals,Book stores
04/07/2014,DCC HATHERLEIGH PS-C 0514362 (00514362),Amazon  Mktplce EU-UK,33.63,Books and Periodicals,Book stores
04/07/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,20.98,Books and Periodicals,Book stores
04/07/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,31.49,Books and Periodicals,Book stores
04/07/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,53.40,Books and Periodicals,Book stores
04/07/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),WWW.THEWORKS.CO.UK,32.99,Books and Periodicals,Book stores
04/07/2014,DCC CDPLS - C (00451587),Amazon EU,16.49,Mail Order / Direct Selling,Direct sales companies
04/07/2014,DCC KING EDWARD VI COMMUNITY C (00247596),FLEURETTES,20.00,Estate and Garden Services,Florists
04/07/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2487,158.58,General Retail and Wholesale,Grocery stores
04/07/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO STORES 3031,4.00,General Retail and Wholesale,Grocery stores
04/07/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,85.98,General Retail and Wholesale,Grocery stores
04/07/2014,DCC KING EDWARD VI COMMUNITY C (00247596),WM MORRISONS,15.99,General Retail and Wholesale,Grocery stores
04/07/2014,WEST EXE TECHNOLOGY COLLEGE (00246772),ORANGE (A/PG/01),20.00,Telecommunication Services,Phone services
04/07/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),WWW.STAPLES.CO.UK,106.00,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
05/07/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon EU,7.84,Mail Order / Direct Selling,Direct sales companies
05/07/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),LIDL UK,8.46,General Retail and Wholesale,Grocery stores
06/07/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),PAYPAL  QUICKDRAWSU,18.75,General Retail and Wholesale,Art & craft shops
06/07/2014,DCC WHITCHURCH - C 0559309 (00559309),Amazon  Mktplce EU-UK,93.90,Books and Periodicals,Book stores
